model,cbs,accuracy,f1,precision,recall,roc_auc,stability_score,time_score
LogisticRegression,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RandomForest,0.8538461538461538,1.0,1.0,1.0,1.0,1.0,0.0,0.5384615384615384
SVM,0.2952380952380954,0.2,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.20000000000000046,0.4000000000000009,0.0
